"GISJOIN","Geography","Y90Total","Y90A25to44","Y90A25to59","Y00Total","Y00A25to44","Y00A25to59","Y10total","Y10A25to44","Y10A25to59","place"
"G08056365","Otis town, Colorado",451,122,179,534,133,223,475,109,194,"56365"
"G08056420","Ouray city, Colorado",644,185,332,813,240,438,1000,246,502,"56420"
"G08056475","Ovid town, Colorado",349,77,148,330,77,136,318,62,132,"56475"
"G08056695","Padroni CDP, Colorado",NA,NA,NA,97,27,42,76,17,36,"56695"
"G08056860","Pagosa Springs town, Colorado",1207,350,523,1591,428,748,1727,398,779,"56860"
"G08056970","Palisade town, Colorado",1871,534,755,2579,683,1145,2692,631,1256,"56970"
"G08057025","Palmer Lake town, Colorado",1480,619,790,2179,762,1244,2420,556,1285,"57025"
"G08057245","Paoli town, Colorado",29,6,14,42,6,19,34,6,13,"57245"
"G08057300","Paonia town, Colorado",1403,347,521,1497,377,642,1451,330,650,"57300"
"G08057400","Parachute town, Colorado",658,213,293,1006,325,458,1085,328,535,"57400"
"G08057445","Paragon Estates CDP, Colorado",NA,NA,NA,NA,NA,NA,928,137,431,"57445"
